ciudad,url_imagen
Arequipa,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Catedral_Arequipa%2C_Peru.jpg/1200px-Catedral_Arequipa%2C_Peru.jpg
Trujillo,https://upload.wikimedia.org/wikipedia/commons/1/12/Trujillo-Peru8.jpg
Cusco,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/5e/ab/68/cusco.jpg?w=1200&h=1200&s=1
Piura,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/91/2b/4f/photo0jpg.jpg?w=600&h=-1&s=1
Huancayo,https://media-cdn.tripadvisor.com/media/photo-s/09/c2/07/71/plaza-de-la-constitucion.jpg
Huaraz,https://upload.wikimedia.org/wikipedia/commons/2/2f/Huascaran_Huandoy_Chopicalqui_seen_from_Huaraz.JPG
